"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
455,07/17/19 09:00:00 AM,5.61,5.36,,,,,
456,07/17/19 09:15:00 AM,5.69,5.42,,,,,
457,07/17/19 09:30:00 AM,5.78,5.48,,,,,
458,07/17/19 09:45:00 AM,5.89,5.64,,,,,
459,07/17/19 10:00:00 AM,5.98,5.82,,,,,
460,07/17/19 10:15:00 AM,6.07,6.02,,,,,
461,07/17/19 10:30:00 AM,6.14,6.14,,,,,
462,07/17/19 10:45:00 AM,6.21,6.24,,,,,
463,07/17/19 11:00:00 AM,6.28,6.40,,,,,
464,07/17/19 11:15:00 AM,6.33,6.56,,,,,
465,07/17/19 11:30:00 AM,6.41,6.86,,,,,
466,07/17/19 11:45:00 AM,6.45,7.28,,,,,
467,07/17/19 12:00:00 PM,6.49,7.66,,,,,
468,07/17/19 12:15:00 PM,6.50,7.88,,,,,
469,07/17/19 12:30:00 PM,6.51,7.94,,,,,
470,07/17/19 12:45:00 PM,6.55,8.02,,,,,
471,07/17/19 01:00:00 PM,6.59,8.18,,,,,
472,07/17/19 01:15:00 PM,6.60,8.34,,,,,
473,07/17/19 01:30:00 PM,6.64,8.48,,,,,
474,07/17/19 01:45:00 PM,6.65,8.56,,,,,
475,07/17/19 02:00:00 PM,6.68,8.68,,,,,
476,07/17/19 02:15:00 PM,6.68,8.78,,,,,
477,07/17/19 02:30:00 PM,6.71,8.98,,,,,
478,07/17/19 02:45:00 PM,6.69,9.16,,,,,
479,07/17/19 03:00:00 PM,6.66,9.10,,,,,
480,07/17/19 03:15:00 PM,6.69,9.10,,,,,
481,07/17/19 03:30:00 PM,6.67,9.50,,,,,
482,07/17/19 03:45:00 PM,6.66,9.58,,,,,
483,07/17/19 04:00:00 PM,6.63,9.62,,,,,
484,07/17/19 04:15:00 PM,6.61,9.56,,,,,
485,07/17/19 04:30:00 PM,6.59,9.44,,,,,
486,07/17/19 04:45:00 PM,6.54,9.30,,,,,
487,07/17/19 05:00:00 PM,6.50,9.20,,,,,
488,07/17/19 05:15:00 PM,6.47,9.06,,,,,
489,07/17/19 05:30:00 PM,6.44,8.92,,,,,
490,07/17/19 05:45:00 PM,6.40,8.80,,,,,
491,07/17/19 06:00:00 PM,6.34,8.66,,,,,
492,07/17/19 06:15:00 PM,6.27,8.50,,,,,
493,07/17/19 06:30:00 PM,6.16,8.30,,,,,
494,07/17/19 06:45:00 PM,6.05,8.12,,,,,
495,07/17/19 07:00:00 PM,5.95,7.96,,,,,
496,07/17/19 07:15:00 PM,5.86,7.82,,,,,
497,07/17/19 07:30:00 PM,5.77,7.66,,,,,
498,07/17/19 07:45:00 PM,5.70,7.54,,,,,
499,07/17/19 08:00:00 PM,5.63,7.42,,,,,
500,07/17/19 08:15:00 PM,5.56,7.30,,,,,
501,07/17/19 08:30:00 PM,5.51,7.20,,,,,
502,07/17/19 08:45:00 PM,5.46,7.08,,,,,
503,07/17/19 09:00:00 PM,5.42,6.98,,,,,
504,07/17/19 09:15:00 PM,5.37,6.88,,,,,
505,07/17/19 09:30:00 PM,5.34,6.80,,,,,
506,07/17/19 09:45:00 PM,5.30,6.72,,,,,
507,07/17/19 10:00:00 PM,5.27,6.66,,,,,
508,07/17/19 10:15:00 PM,5.24,6.58,,,,,
509,07/17/19 10:30:00 PM,5.22,6.50,,,,,
510,07/17/19 10:45:00 PM,5.19,6.44,,,,,
511,07/17/19 11:00:00 PM,5.18,6.38,,,,,
512,07/17/19 11:15:00 PM,5.19,6.32,,,,,
513,07/17/19 11:30:00 PM,5.17,6.28,,,,,
514,07/17/19 11:45:00 PM,5.15,6.22,,,,,
515,07/18/19 12:00:00 AM,5.13,6.16,,,,,
516,07/18/19 12:15:00 AM,5.12,6.10,,,,,
517,07/18/19 12:30:00 AM,5.10,6.02,,,,,
518,07/18/19 12:45:00 AM,5.09,5.96,,,,,
519,07/18/19 01:00:00 AM,5.06,5.90,,,,,
520,07/18/19 01:15:00 AM,5.05,5.84,,,,,
521,07/18/19 01:30:00 AM,5.02,5.78,,,,,
522,07/18/19 01:45:00 AM,4.99,5.72,,,,,
523,07/18/19 02:00:00 AM,4.98,5.68,,,,,
524,07/18/19 02:15:00 AM,4.95,5.62,,,,,
525,07/18/19 02:30:00 AM,4.93,5.58,,,,,
526,07/18/19 02:45:00 AM,4.92,5.54,,,,,
527,07/18/19 03:00:00 AM,4.90,5.50,,,,,
528,07/18/19 03:15:00 AM,4.88,5.48,,,,,
529,07/18/19 03:30:00 AM,4.87,5.44,,,,,
530,07/18/19 03:45:00 AM,4.86,5.42,,,,,
531,07/18/19 04:00:00 AM,4.83,5.40,,,,,
532,07/18/19 04:15:00 AM,4.83,5.38,,,,,
533,07/18/19 04:30:00 AM,4.80,5.34,,,,,
534,07/18/19 04:45:00 AM,4.79,5.30,,,,,
535,07/18/19 05:00:00 AM,4.78,5.28,,,,,
536,07/18/19 05:15:00 AM,4.77,5.26,,,,,
537,07/18/19 05:30:00 AM,4.76,5.24,,,,,
538,07/18/19 05:45:00 AM,4.75,5.22,,,,,
539,07/18/19 06:00:00 AM,4.74,5.20,,,,,
540,07/18/19 06:15:00 AM,4.74,5.18,,,,,
541,07/18/19 06:30:00 AM,4.75,5.16,,,,,
542,07/18/19 06:45:00 AM,4.75,5.16,,,,,
543,07/18/19 07:00:00 AM,4.76,5.16,,,,,
544,07/18/19 07:15:00 AM,4.80,5.16,,,,,
545,07/18/19 07:30:00 AM,4.87,5.18,,,,,
546,07/18/19 07:45:00 AM,4.91,5.18,,,,,
547,07/18/19 08:00:00 AM,4.96,5.18,,,,,
548,07/18/19 08:15:00 AM,5.04,5.22,,,,,
549,07/18/19 08:30:00 AM,5.13,5.26,,,,,
550,07/18/19 08:45:00 AM,5.24,5.32,,,,,
551,07/18/19 09:00:00 AM,5.36,5.48,,,,,
552,07/18/19 09:15:00 AM,5.49,5.74,,,,,
553,07/18/19 09:30:00 AM,5.59,5.92,,,,,
554,07/18/19 09:45:00 AM,5.71,6.18,,,,,
555,07/18/19 10:00:00 AM,5.81,6.42,,,,,
556,07/18/19 10:15:00 AM,5.91,6.72,,,,,
557,07/18/19 10:30:00 AM,6.01,6.98,,,,,
558,07/18/19 10:45:00 AM,6.09,7.24,,,,,
559,07/18/19 11:00:00 AM,6.18,7.58,,,,,
560,07/18/19 11:15:00 AM,6.26,7.94,,,,,
561,07/18/19 11:30:00 AM,6.31,8.26,,,,,
562,07/18/19 11:45:00 AM,6.35,8.52,,,,,
563,07/18/19 12:00:00 PM,6.37,8.64,,,,,
564,07/18/19 12:15:00 PM,6.44,8.86,,,,,
565,07/18/19 12:30:00 PM,6.47,9.28,,,,,
566,07/18/19 12:45:00 PM,6.49,9.66,,,,,
567,07/18/19 01:00:00 PM,6.49,9.96,,,,,
568,07/18/19 01:15:00 PM,6.47,10.06,,,,,
569,07/18/19 01:30:00 PM,6.49,10.04,,,,,
570,07/18/19 01:45:00 PM,6.50,10.30,,,,,
571,07/18/19 01:55:01 PM,,,Logged,,,,
572,07/18/19 01:55:36 PM,,,,Logged,,,
573,07/18/19 01:55:39 PM,,,,,,Logged,Logged
